id,title,company,location,job_type,date_posted,url,created_at,source,description,skills,category
1227,RFQ for SWITCH ADAPTOR,,Malawi,Tender,6/18/2025,https://ntchito.com/job/rfq-for-switch-adaptor/,58:57.9,ntchito.com,"You need to be logged in to view this content. Please Log In. Not a Member? Join Us

Related posts:
TENDER RESULTS FOR VARIOUS MICROSOFT ANNUAL LICENCES You need to be logged in to view this content. Please Log In. Not a...
Provision of Stationery and Computer Accessories You need to be logged in to view this content. Please Log In. Not a...
Tenderfor configuration of NSX-T features in the SWIFT Environment You need to be logged in to view this content. Please Log In. Not a...
Disposal of obsolete items (ICT Equipment, Motor Vehicle Tyres and Other Office Equipment) You need to be logged in to view this content. Please Log In. Not a...
Supply, Delivery and  Commissioning of Laptops You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of ICT Accessories You need to be logged in to view this content. Please Log In. Not a...
PROVISION OF INTERNET AND VPN SERVICES AT NOCMA You need to be logged in to view this content. Please Log In. Not a...
Provision of Internet and Emailing Services You need to be logged in to view this content. Please Log In. Not a...
Provision of ICT Equipment maintenance Services You need to be logged in to view this content. Please Log In. Not a...
WEBSITE AND HOSTING You need to be logged in to view this content. Please Log In. Not a...
MAINTENANCE OF DEVICES You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF LAPTOP You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF ICT EQUIPMENT FOR ICT OFFICE You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF ICT EQUIPMENT FOR GENERAL ADMIN OFFICE You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF ICT DEVICES You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Laptop Computers, Desktop Computers and EMS Infrastructure spares You need to be logged in to view this content. Please Log In. Not a...
 Supply and Delivery of LA IFMIS ICT Equipment You need to be logged in to view this content. Please Log In. Not a...
Supply, delivery, installation and configuration of LA IFMIS ICT Equipment & Software You need to be logged in to view this content. Please Log In. Not a...
REQUEST FOR PROPOSALS FOR THE ESTABLISHMENT OF A LONG -TERM ARRANGEMENT (LTA) FOR THE PROVISION OF CANTEEN MANAGEMENT AND CATERING SERVICES You need to be logged in to view this content. Please Log In. Not a...
REQUEST FOR PROPOSALS FOR THE ESTABLISHMENT OF A LONG-TERM ARRANGEMENT FOR THE PROVISION OF CANTEEN MANAGEMENT AND CATERING SERVICES  You need to be logged in to view this content. Please Log In. Not a...",,
1228,Analytical Chemist (Food Safety),,Austria,Internationally Recruited,6/18/2025,https://ntchito.com/job/analytical-chemist-food-safety/,58:57.9,ntchito.com,"You need to be logged in to view this content. Please Log In. Not a Member? Join Us

Related posts:
Senior Analytical Chemist You need to be logged in to view this content. Please Log In. Not a...
Research Team Lead You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Gender Analysis You need to be logged in to view this content. Please Log In. Not a...
Senior Software Engineer You need to be logged in to view this content. Please Log In. Not a...
Technical Journalist You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Assistance in operational risk management function You need to be logged in to view this content. Please Log In. Not a...
Principal Legal Counsel You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant- Fragility Assessment You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Financial and Economic Analysis You need to be logged in to view this content. Please Log In. Not a...
Country specialist You need to be logged in to view this content. Please Log In. Not a...
Creative Content Marketer You need to be logged in to view this content. Please Log In. Not a...
Senior Treasury Risk Officer You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant- M&E Analysis You need to be logged in to view this content. Please Log In. Not a...
Senior Consultant – Data Scientist You need to be logged in to view this content. Please Log In. Not a...
Communications Officer You need to be logged in to view this content. Please Log In. Not a...
Nuclear Knowledge Management Specialist You need to be logged in to view this content. Please Log In. Not a...
Content Management Specialist You need to be logged in to view this content. Please Log In. Not a...
Food Security Analyst You need to be logged in to view this content. Please Log In. Not a...
Research Reactor Specialist You need to be logged in to view this content. Please Log In. Not a...
Driver You need to be logged in to view this content. Please Log In. Not a...",,
1229,Nuclear Data Analyst / Programmer,,Vienna (Austria),Internationally Recruited,6/18/2025,https://ntchito.com/job/nuclear-data-analyst-programmer/,58:57.9,ntchito.com,"You need to be logged in to view this content. Please Log In. Not a Member? Join Us

Related posts:
Senior Safeguards Analyst (Nuclear Fuel Cycle) You need to be logged in to view this content. Please Log In. Not a...
Research Team Lead You need to be logged in to view this content. Please Log In. Not a...
Nuclear Knowledge Management Specialist You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Gender Analysis You need to be logged in to view this content. Please Log In. Not a...
Senior Software Engineer You need to be logged in to view this content. Please Log In. Not a...
Technical Journalist You need to be logged in to view this content. Please Log In. Not a...
Senior Consultant – Data Scientist You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Assistance in operational risk management function You need to be logged in to view this content. Please Log In. Not a...
Principal Legal Counsel You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant- Fragility Assessment You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Financial and Economic Analysis You need to be logged in to view this content. Please Log In. Not a...
Country specialist You need to be logged in to view this content. Please Log In. Not a...
Creative Content Marketer You need to be logged in to view this content. Please Log In. Not a...
Senior Treasury Risk Officer You need to be logged in to view this content. Please Log In. Not a...
UN Women Gender Research and Data Specialist You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant- M&E Analysis You need to be logged in to view this content. Please Log In. Not a...
Project Analyst You need to be logged in to view this content. Please Log In. Not a...
Project Analyst You need to be logged in to view this content. Please Log In. Not a...
Operations Analyst You need to be logged in to view this content. Please Log In. Not a...
Programme Analyst – African Young Women Leader’s fellowship Programme (AfYWL) You need to be logged in to view this content. Please Log In. Not a...",,
1230,MAINTENANCE OF DEVICES,,Malawi,Tender,6/18/2025,https://ntchito.com/job/maintenance-of-devices/,58:57.9,ntchito.com,"You need to be logged in to view this content. Please Log In. Not a Member? Join Us

Related posts:
SUPPLY AND DELIVERY OF ICT DEVICES You need to be logged in to view this content. Please Log In. Not a...
Provision of ICT Equipment maintenance Services You need to be logged in to view this content. Please Log In. Not a...
Provision of Hardware and Maintenance Materials You need to be logged in to view this content. Please Log In. Not a...
Construction and Maintenance of Distribution Power Lines for Southern Region You need to be logged in to view this content. Please Log In. Not a...
Supply, Installation, Commissioning and Maintenance of Portable ID Biometric Registration Kits for National Registration Bureau You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Construction and Maintenance Materials You need to be logged in to view this content. Please Log In. Not a...
Provision of General Maintenance Works and Services for 12 Months You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Maintenance Tools You need to be logged in to view this content. Please Log In. Not a...
Supply and Installation of Gardening Taps and Maintenance of Broken Pipes and Taps  You need to be logged in to view this content. Please Log In. Not a...
PROVISION OF MAINTENANCE SERVICE FOR OFFICE WOODEN FILING CABINET AND A DRAWER You need to be logged in to view this content. Please Log In. Not a...
CALL FOR QUOTATIONS FOR ICT MAINTENANCE SERVICES You need to be logged in to view this content. Please Log In. Not a...
Office equipment maintenance: generators, refrigerators, air conditioners, microwaves etc You need to be logged in to view this content. Please Log In. Not a...
Office IT equipment maintenance- Hardware – Laptops, Desktop computers, smart phones, cameras etc You need to be logged in to view this content. Please Log In. Not a...
Borehole maintenance materials You need to be logged in to view this content. Please Log In. Not a...
MAINTENANCE OF CCTV AND ACCESS CONTROL SYSTEMS You need to be logged in to view this content. Please Log In. Not a...
PROVISION OF GENERAL SERVICES – CARPENTRY, AIR CONDITIONING MAINTENANCE, PLUMBING, ELECTRICAL AND HANDY MEN You need to be logged in to view this content. Please Log In. Not a...
Air Conditioner Maintenance Services You need to be logged in to view this content. Please Log In. Not a...
TENDER RESULTS FOR VARIOUS MICROSOFT ANNUAL LICENCES You need to be logged in to view this content. Please Log In. Not a...
Provision of Stationery and Computer Accessories You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF LAPTOP You need to be logged in to view this content. Please Log In. Not a...",,
1232,"Chief, Talent Acquisition",,Vienna (Austria),Internationally Recruited,6/18/2025,https://ntchito.com/job/chief-talent-acquisition/,58:57.9,ntchito.com,"You need to be logged in to view this content. Please Log In. Not a Member? Join Us

Related posts:
Research Team Lead You need to be logged in to view this content. Please Log In. Not a...
TALENT MANAGEMENT OFFICER You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Gender Analysis You need to be logged in to view this content. Please Log In. Not a...",,
1233,SUPPLY AND DELIVERY OF LAPTOP,,Malawi,Tender,6/18/2025,https://ntchito.com/job/supply-and-delivery-of-laptop-2/,58:57.9,ntchito.com,"You need to be logged in to view this content. Please Log In. Not a Member? Join Us

Related posts:
Supply and Delivery of Laptop Computers, Desktop Computers and EMS Infrastructure spares You need to be logged in to view this content. Please Log In. Not a...
Supply, Delivery and  Commissioning of Laptops You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of ICT Accessories You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF ICT EQUIPMENT FOR ICT OFFICE You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF ICT EQUIPMENT FOR GENERAL ADMIN OFFICE You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF ICT DEVICES You need to be logged in to view this content. Please Log In. Not a...
 Supply and Delivery of LA IFMIS ICT Equipment You need to be logged in to view this content. Please Log In. Not a...
Supply, delivery, installation and configuration of LA IFMIS ICT Equipment & Software You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF GENERAL FARM INPUTS FOR CROPS You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Motor Vehicle Tyres You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Maintenance Tools You need to be logged in to view this content. Please Log In. Not a...
Supply and delivery of Printing Materials You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF LABORATORY EQUIPMENT AT NOCMA LILONGWE FUEL DEPOT You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Calibration Equipment You need to be logged in to view this content. Please Log In. Not a...
Supply Delivery of Various Motor Vehicles You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF A 30 TO 36 SEATER BUS You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF KEY MOBILIZE BATTERIES You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Tyres, Batteries, and Tubes You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Lab Reagents You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Motor Vehicle Tyres, Batteries and Oils. You need to be logged in to view this content. Please Log In. Not a...",,
1234,HUMAN RIGHTS OFFICER,,Geneva (Switzerland),Internationally Recruited,6/18/2025,https://ntchito.com/job/human-rights-officer-36/,58:57.9,ntchito.com,"You need to be logged in to view this content. Please Log In. Not a Member? Join Us

Related posts:
Research Team Lead You need to be logged in to view this content. Please Log In. Not a...
ASSOCIATE HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
ASSOCIATE HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Gender Analysis You need to be logged in to view this content. Please Log In. Not a...
Senior Software Engineer You need to be logged in to view this content. Please Log In. Not a...
Programme Advisor, Gender and Human Rights You need to be logged in to view this content. Please Log In. Not a...
Principal Legal Counsel You need to be logged in to view this content. Please Log In. Not a...
Technical Journalist You need to be logged in to view this content. Please Log In. Not a...
SENIOR HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Assistance in operational risk management function You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant- Fragility Assessment You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Financial and Economic Analysis You need to be logged in to view this content. Please Log In. Not a...
Senior Treasury Risk Officer You need to be logged in to view this content. Please Log In. Not a...
Country specialist You need to be logged in to view this content. Please Log In. Not a...
Creative Content Marketer You need to be logged in to view this content. Please Log In. Not a...
SECURITY COORDINATION OFFICER You need to be logged in to view this content. Please Log In. Not a...",,
1235,HUMAN RIGHTS OFFICER,,Tegucigalpa (Honduras),Internationally Recruited,6/18/2025,https://ntchito.com/job/human-rights-officer-35/,58:57.9,ntchito.com,"You need to be logged in to view this content. Please Log In. Not a Member? Join Us

Related posts:
Research Team Lead You need to be logged in to view this content. Please Log In. Not a...
ASSOCIATE HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
ASSOCIATE HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Gender Analysis You need to be logged in to view this content. Please Log In. Not a...
HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
Senior Software Engineer You need to be logged in to view this content. Please Log In. Not a...
Programme Advisor, Gender and Human Rights You need to be logged in to view this content. Please Log In. Not a...
Technical Journalist You need to be logged in to view this content. Please Log In. Not a...
SENIOR HUMAN RIGHTS OFFICER You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant- Fragility Assessment You need to be logged in to view this content. Please Log In. Not a...
Individual Consultant – Financial and Economic Analysis You need to be logged in to view this content. Please Log In. Not a...
Senior Treasury Risk Officer You need to be logged in to view this content. Please Log In. Not a...
Country specialist You need to be logged in to view this content. Please Log In. Not a...
Creative Content Marketer You need to be logged in to view this content. Please Log In. Not a...
SECURITY COORDINATION OFFICER You need to be logged in to view this content. Please Log In. Not a...
Director for Research, Ethics and Inclusion (Social and Human Sciences) You need to be logged in to view this content. Please Log In. Not a...
Director for Research, Ethics and Inclusion (Social and Human Sciences) You need to be logged in to view this content. Please Log In. Not a...
Programme Officer You need to be logged in to view this content. Please Log In. Not a...",,
1236,SUPPLY AND DELIVERY OF ICT EQUIPMENT FOR ICT OFFICE,,Malawi,Tender,6/18/2025,https://ntchito.com/job/supply-and-delivery-of-ict-equipment-for-ict-office/,58:57.9,ntchito.com,"You need to be logged in to view this content. Please Log In. Not a Member? Join Us

Related posts:
Office furniture & equipment: Office Desk, office Chairs, Office Fans, Filling Cabinets and all other office equipment. You need to be logged in to view this content. Please Log In. Not a...
Disposal of obsolete items (ICT Equipment, Motor Vehicle Tyres and Other Office Equipment) You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF ICT EQUIPMENT FOR GENERAL ADMIN OFFICE You need to be logged in to view this content. Please Log In. Not a...
Provision of ICT Equipment maintenance Services You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of ICT Accessories You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF ICT DEVICES You need to be logged in to view this content. Please Log In. Not a...
Procurement of ICT Equipment You need to be logged in to view this content. Please Log In. Not a...
Provision of Repair of ICT Equipment You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF LABORATORY EQUIPMENT AT NOCMA LILONGWE FUEL DEPOT You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Calibration Equipment You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Navigation Equipment You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Office Furniture You need to be logged in to view this content. Please Log In. Not a...
Office equipment maintenance: generators, refrigerators, air conditioners, microwaves etc You need to be logged in to view this content. Please Log In. Not a...
Office IT equipment maintenance- Hardware – Laptops, Desktop computers, smart phones, cameras etc You need to be logged in to view this content. Please Log In. Not a...
Computer/Office Equipment & Consumables: i.e, Computers, Laptops, tablets, cell phones, UPS units, printers, projectors, Digital Cameras e.t.c You need to be logged in to view this content. Please Log In. Not a...
SUPPLY OF COMPUTER EQUIPMENT, ACCESSORIES AND CONSUMABLES You need to be logged in to view this content. Please Log In. Not a...
Supply, Delivery and  Commissioning of Laptops You need to be logged in to view this content. Please Log In. Not a...
SUPPLY AND DELIVERY OF LAPTOP You need to be logged in to view this content. Please Log In. Not a...
Supply and delivery of Printing Materials You need to be logged in to view this content. Please Log In. Not a...
Supply and Delivery of Tyres, Batteries, and Tubes You need to be logged in to view this content. Please Log In. Not a...",,
1237,ADMINISTRATIVE OFFICER,,Montreal (Canada),Internationally Recruited,6/18/2025,https://ntchito.com/job/administrative-officer-9/,58:57.9,ntchito.com,"You need to be logged in to view this content. Please Log In. Not a Member? Join Us

Related posts:
DIRECTOR, PROGRAMME MANAGEMENT You need to be logged in to view this content. Please Log In. Not a...
PROGRAMME MANAGEMENT OFFICER You need to be logged in to view this content. Please Log In. Not a...
EXECUTIVE COORDINATOR, PROGRAMME You need to be logged in to view this content. Please Log In. Not a...
ASSOCIATE FINANCE AND BUDGET OFFICER You need to be logged in to view this content. Please Log In. Not a...
SENIOR PROGRAMME MANAGEMENT OFFICER You need to be logged in to view this content. Please Log In. Not a...
EXECUTIVE COORDINATOR, PROGRAMME You need to be logged in to view this content. Please Log In. Not a...
INFORMATION SYSTEMS OFFICER You need to be logged in to view this content. Please Log In. Not a...
PROGRAMME MANAGEMENT OFFICER You need to be logged in to view this content. Please Log In. Not a...
Outreach and Resource Mobilization You need to be logged in to view this content. Please Log In. Not a...
Finance and Budget Officer You need to be logged in to view this content. Please Log In. Not a...
FINANCE AND BUDGET OFFICER You need to be logged in to view this content. Please Log In. Not a...
SENIOR PROGRAMME MANAGEMENT OFFICER You need to be logged in to view this content. Please Log In. Not a...
SENIOR PROGRAMME MANAGEMENT OFFICER You need to be logged in to view this content. Please Log In. Not a...
INFORMATION SYSTEMS OFFICER You need to be logged in to view this content. Please Log In. Not a...
Chief of Strategic Planning and Monitoring Unit You need to be logged in to view this content. Please Log In. Not a...
ADMINISTRATIVE OFFICER You need to be logged in to view this content. Please Log In. Not a...
PROGRAMME MANAGEMENT OFFICER You need to be logged in to view this content. Please Log In. Not a...
PROGRAMME MANAGEMENT OFFICER (Special Assistant) You need to be logged in to view this content. Please Log In. Not a...
PROGRAMME MANAGEMENT OFFICER You need to be logged in to view this content. Please Log In. Not a...
Communications Officer You need to be logged in to view this content. Please Log In. Not a...",,
