id,title,company,location,job_type,date_posted,url,created_at,source,description,skills,category
327,Junior Cabin Crew,Malawi Airlines Limited,Lilongwe,Full Time,5/21/2025,https://jobsearchmalawi.com/job/junior-cabin-crew/,23:02.9,jobsearchmalawi.com,,,
328,Operations Manager,Freedom Financial Services,Lilongwe,Full Time,5/21/2025,https://jobsearchmalawi.com/job/operations-manager-81/,23:02.9,jobsearchmalawi.com,,,
329,Head of Cambridge Early Years,The Lilongwe Academy International School,Lilongwe,Full Time,5/21/2025,https://jobsearchmalawi.com/job/head-of-cambridge-early-years/,23:02.9,jobsearchmalawi.com,,,
330,"Manager, Internal Audit",National Bank of Malawi Plc,Blantyre,Full Time,5/21/2025,https://jobsearchmalawi.com/job/manager-internal-audit-2/,23:02.9,jobsearchmalawi.com,,,
355,PROCUREMENT OF TUBELESS TYRES SIZE 17.5 R 25,,"Blantyre, Malawi",Tender,5/21/2025,https://ntchito.com/job/procurement-of-tubeless-tyres-size-17-5-r-25/,23:39.6,ntchito.com,,,
356,PROCUREMENT OF MOTOR VEHICLE SPARE PARTS,,"Blantyre, Malawi",Tender,5/21/2025,https://ntchito.com/job/procurement-of-motor-vehicle-spare-parts/,23:39.6,ntchito.com,,,
357,PROCUREMENT OF HEAVY DUTY WHEELBARROWS,,"Blantyre, Malawi",Tender,5/21/2025,https://ntchito.com/job/procurement-of-heavy-duty-wheelbarrows/,23:39.6,ntchito.com,,,
358,Supply and delivery of Oral Nutrition supplements,,Malawi,Tender,5/21/2025,https://ntchito.com/job/supply-and-delivery-of-oral-nutrition-supplements/,23:39.6,ntchito.com,,,
359,Accountant,,"Blantyre, Malawi",Job Vacancy in Malawi,5/21/2025,https://ntchito.com/job/accountant-5/,23:39.6,ntchito.com,,,
360,NICO GROUP MANAGEMENT TRAINEE PROGRAM – 2025 INTAKE,,Malawi,Internship,5/21/2025,https://ntchito.com/job/nico-group-management-trainee-program-2025-intake/,23:39.6,ntchito.com,,,
361,Prequalification of Consultants for WHH Malawi,,Malawi,Consultancy,5/21/2025,https://ntchito.com/job/prequalification-of-consultants-for-whh-malawi/,23:39.6,ntchito.com,,,
362,Food & Beverage Manager,,"Blantyre, Malawi",Opportunity,5/21/2025,https://ntchito.com/job/food-beverage-manager/,23:39.6,ntchito.com,,,
363,Junior Cabin Crew,,"Lilongwe, Malawi (Remote)",Job Vacancy in Malawi,5/21/2025,https://ntchito.com/job/junior-cabin-crew/,23:39.6,ntchito.com,,,
364,Media Manager,,Remote,Internationally Recruited,5/21/2025,https://ntchito.com/job/media-manager/,23:39.6,ntchito.com,,,
365,Senior Advisor: Partnerships,,Remote,Internationally Recruited,5/21/2025,https://ntchito.com/job/senior-advisor-partnerships/,23:39.6,ntchito.com,,,
366,Digital Communications Lead,,Remote,Internationally Recruited,5/21/2025,https://ntchito.com/job/digital-communications-lead/,23:39.6,ntchito.com,,,
367,Finance & Administration Assistant,,Malawi,Job Vacancy in Malawi,5/21/2025,https://ntchito.com/job/finance-administration-assistant/,23:39.6,ntchito.com,,,
